rain_1d,rain_7d_sum,rain_7d_max,rain_30d_sum,rain_30d_mean,temp_7d_mean,rh_7d_mean,Latitude,Longitude,Sample Date
0.37,0.83,0.37,2.0100000000000002,0.067,24.221428571428568,48.56714285714286,-28.760833,17.730278,2011-01-02
0.0,1.15,0.73,7.09,0.23633333333333334,22.86571428571429,52.65714285714286,-28.760833,17.730278,2011-01-16
0.06,0.06999999999999999,0.06,7.4799999999999995,0.24933333333333332,23.782857142857143,51.63857142857143,-28.760833,17.730278,2011-01-30
0.12,5.38,2.21,13.410000000000002,0.44700000000000006,24.860000000000003,57.76857142857143,-28.760833,17.730278,2011-02-13
0.0,0.09,0.06,18.81,0.627,23.81142857142857,54.379999999999995,-28.760833,17.730278,2011-02-27
0.0,0.08,0.08,10.78,0.35933333333333334,24.037142857142857,52.21142857142858,-28.760833,17.730278,2011-03-13
0.0,0.0,0.0,7.02,0.23399999999999999,22.095714285714283,50.76428571428571,-28.760833,17.730278,2011-03-27
0.0,0.08,0.05,4.16,0.13866666666666666,23.851428571428574,35.41571428571429,-28.760833,17.730278,2011-04-10
0.0,0.99,0.77,4.5,0.15,20.63,46.371428571428574,-28.760833,17.730278,2011-04-25
0.0,13.270000000000001,6.34,17.360000000000003,0.5786666666666668,19.38714285714286,67.00857142857144,-28.760833,17.730278,2011-05-08
0.0,0.35,0.3,14.81,0.4936666666666667,16.264285714285712,47.13428571428572,-28.760833,17.730278,2011-05-22
0.0,3.05,2.03,14.299999999999997,0.47666666666666657,11.735714285714286,61.16428571428571,-28.760833,17.730278,2011-06-05
0.0,5.300000000000001,2.97,21.65,0.7216666666666666,14.165714285714285,61.75285714285714,-28.760833,17.730278,2011-06-19
0.03,0.45000000000000007,0.16,14.34,0.478,9.795714285714286,65.31285714285715,-28.760833,17.730278,2011-07-03
0.0,0.0,0.0,6.99,0.233,16.445714285714285,39.60428571428571,-28.760833,17.730278,2011-07-17
0.0,11.68,10.49,12.08,0.4026666666666667,11.05285714285714,62.65142857142856,-28.760833,17.730278,2011-07-31
0.23,0.42000000000000004,0.23,20.770000000000003,0.6923333333333335,13.797142857142859,51.15571428571428,-28.760833,17.730278,2011-08-14
0.0,8.19,6.14,18.409999999999997,0.6136666666666666,12.395714285714288,65.85857142857142,-28.760833,17.730278,2011-08-28
0.03,0.1,0.07,10.28,0.3426666666666666,18.852857142857143,35.65857142857143,-28.760833,17.730278,2011-09-10
0.0,0.33,0.19,1.4399999999999997,0.047999999999999994,16.08857142857143,46.49857142857143,-28.760833,17.730278,2011-09-24
0.0,0.02,0.02,0.5900000000000001,0.01966666666666667,18.162857142857142,43.99714285714286,-28.760833,17.730278,2011-10-08
0.0,5.33,3.22,5.359999999999999,0.17866666666666664,17.63571428571429,52.81428571428571,-28.760833,17.730278,2011-10-22
0.06,0.06,0.06,5.3999999999999995,0.18,17.327142857142857,47.66428571428571,-28.760833,17.730278,2011-11-05
0.0,0.48,0.38,0.55,0.018333333333333333,18.958571428571425,45.120000000000005,-28.760833,17.730278,2011-11-19
0.0,0.24000000000000002,0.14,3.349999999999999,0.11166666666666664,21.381428571428575,46.64,-28.760833,17.730278,2011-12-03
0.0,0.05,0.05,2.13,0.071,21.94571428571428,52.339999999999996,-28.760833,17.730278,2012-01-03
0.12,1.2800000000000002,0.65,1.69,0.05633333333333333,27.991428571428575,44.71142857142856,-28.760833,17.730278,2012-01-22
0.09,0.5599999999999999,0.18,1.9700000000000002,0.06566666666666668,23.587142857142858,52.81142857142857,-28.760833,17.730278,2012-02-05
0.0,0.0,0.0,3.46,0.11533333333333333,21.925714285714285,46.691428571428574,-28.760833,17.730278,2012-02-19
0.08,0.15,0.08,3.12,0.10400000000000001,23.58142857142857,48.30857142857143,-28.760833,17.730278,2012-03-04
0.09,0.28,0.12,1.2500000000000002,0.04166666666666667,24.67428571428572,49.04142857142857,-28.760833,17.730278,2012-03-17
